Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2018-02-16 11:42:00,4166.68504946,4102.68763138,3955.23314029,3822.08339788,3957.2095788,3759.31532597,3883.19523919
2018-02-16 11:44:00,3950.02002502,4003.87948392,3832.993165,3753.96404641,3937.36804205,3654.44066799,3642.99004182
2018-02-16 11:46:00,3792.54300674,3814.03407434,3635.90794919,4027.08797305,3797.9576519,3641.60469629,3557.7492441
2018-02-16 11:48:00,3908.75579245,3877.2323782,3717.79920508,3690.76964627,3830.97324707,3521.41217266,3383.12424798
2018-02-16 11:50:00,3693.67786812,3657.03216259,3595.41129228,3765.9832254,3721.17338034,3534.46600008,3492.10041793
2018-02-16 11:52:00,3862.57663188,3809.84506859,3598.70536988,3495.93130948,3681.57104134,3299.53717266,3259.0299083
2018-02-16 11:54:00,3810.01363816,3672.83428711,3620.17301325,3694.9453704,3742.66173623,3725.28740461,3559.79412443
2018-02-16 11:56:00,3711.34917937,3777.44693114,3518.35008106,3654.31887755,3669.70784085,3350.57750627,3234.13182743
2018-02-16 11:58:00,3651.83748942,3440.95564209,3406.04070513,3423.61734353,3393.51140709,3288.04147927,3214.54297555
2018-02-16 12:00:00,3677.76343439,3590.9171553,3468.66287992,3412.71288678,3501.72062253,3368.30610965,3321.62356436
2018-02-16 12:02:00,3616.79734629,3650.85911583,3556.79151408,3717.55365906,3592.98916534,3471.83403281,3361.44380328
2018-02-16 12:04:00,3774.71502829,3772.18821264,3672.65585261,3555.1634754,3788.85128192,3670.24812251,3708.30885662
2018-02-16 12:06:00,3988.90420956,4013.48657743,3870.2891899,3982.62671781,4068.45372545,3761.14123675,3619.64953935
2018-02-16 12:08:00,3954.35408773,4037.05122413,3836.47784058,3835.64576443,3995.65681027,3828.99774319,3584.24896861
2018-02-16 12:10:00,4028.90767958,3987.04364159,3913.71950449,4050.16213538,3897.26460349,3748.62700159,3782.7149451
2018-02-16 12:12:00,4320.55721601,4188.99830188,3926.83109706,3852.08306612,3961.24568671,3821.59202839,3547.71647885
2018-02-16 12:14:00,3771.69598895,3648.10794049,3660.90054417,3866.27308995,3842.10401714,3627.86752604,3618.13645235
2018-02-16 12:16:00,4206.16826811,4175.51711494,3935.24021128,3847.76580218,3825.45560762,3664.30144644,3377.63325034
2018-02-16 12:18:00,3365.2901476,3249.89840846,3172.90458441,3122.00698227,3198.8623195,2963.37319618,2758.09810582
2018-02-16 12:20:00,3186.69586472,3082.79364475,3097.21947997,3080.75681104,3068.85576794,2819.07561287,2775.36292351
2018-02-16 12:22:00,3041.47515623,3065.6538445,2949.3804981,2941.18422123,3082.48026707,2953.96222558,2765.3192338
2018-02-16 12:24:00,3192.71961452,3171.46335243,3115.47662149,3197.20409567,3141.17078599,3061.71899181,3068.75372747
2018-02-16 12:26:00,3147.38892829,3075.94948524,2946.88859059,3024.89089853,3181.59382589,2851.42439297,2737.28204383
2018-02-16 12:28:00,3136.27473208,3161.2769569,3006.24293217,2965.85784952,2933.32656433,2898.33994626,2768.70134583
2018-02-16 12:30:00,3128.26850469,3160.8719643,3089.4733513,3156.90911015,3103.61131217,3087.35029413,2906.47712055
2018-02-16 12:32:00,2983.97097787,2906.14520485,2834.75304722,2878.38619997,3000.47621987,2699.18351376,2824.63385435
2018-02-16 12:34:00,3181.16079344,3207.49466067,3054.00685215,3139.41383861,3109.52507703,2944.00613036,2770.03997121
2018-02-16 12:36:00,3024.99966821,2948.11028244,2833.848519,3018.69901148,3012.38286299,2823.5046595,2657.60939053
2018-02-16 12:38:00,2853.42259426,2855.51658446,2770.219036,2586.00904548,2671.40878188,2549.39583716,2480.16552463
2018-02-16 12:40:00,2888.74242884,2755.32248372,2737.45887713,2818.34533941,2859.39234094,2688.68572687,2670.70857794
2018-02-16 12:42:00,2954.82678873,2917.79500036,2807.15292618,2749.39501318,2724.61006615,2688.82445263,2582.43486159
2018-02-16 12:44:00,3029.56297229,2934.49595495,2756.76099184,2843.14747556,2922.20742831,2624.86161757,2535.67561867
2018-02-16 12:46:00,2944.8372435,2881.18357868,2826.57835324,2740.05972693,2722.34667514,2691.09807919,2579.23177884
2018-02-16 12:48:00,2719.91379496,2667.52436669,2481.26541668,2604.74085777,2616.96310893,2325.6760412,2206.38034288
2018-02-16 12:50:00,2573.72557837,2537.07361357,2617.2206419,2553.84916736,2581.5507086,2526.18065117,2430.59802552
2018-02-16 12:52:00,2776.30685388,2712.45627871,2494.58737376,2553.50857681,2619.39417337,2367.21472749,2341.99266068
2018-02-16 12:54:00,2556.51779423,2634.29424004,2562.08158826,2611.08358944,2665.56947277,2579.11141472,2547.13439995
2018-02-16 12:56:00,2808.48231697,2739.79595747,2678.69593235,2771.25879899,2849.40150027,2703.57543138,2597.89476179
2018-02-16 12:58:00,2930.28624606,2917.12734637,2858.13724417,2847.86445454,2712.76529554,2717.99184244,2523.54839148
2018-02-16 13:00:00,2675.86073106,2626.42343444,2565.39512367,2585.62644042,2665.9424447,2496.63642345,2343.26732333
2018-02-16 13:02:00,2637.36639443,2561.45811231,2471.37433552,2402.74279755,2563.06930619,2350.58480869,2337.93198222
2018-02-16 13:04:00,2499.28119735,2647.14627713,2376.09456203,2535.02181306,2388.45034737,2265.65657435,2242.96145049
2018-02-16 13:06:00,2310.4359519,2351.94624616,2434.28822072,2413.10244008,2468.72584422,2249.09532212,2058.25361102
2018-02-16 13:08:00,2223.87269132,2364.49998331,2196.52258293,2337.72757293,2341.53871064,2245.80451459,2297.30777146
2018-02-16 13:10:00,2208.87889271,2186.75339286,2235.68653422,2091.68926438,2178.8057145,2057.4446953,1920.88262969
2018-02-16 13:12:00,2237.85760813,2277.35122451,2145.04195541,2233.2632675,2315.09412943,2174.70656861,2218.11322696
2018-02-16 13:14:00,2223.94335487,2213.55171085,2287.97856967,2470.8683743,2358.03433586,2221.49133851,2224.92715759
2018-02-16 13:16:00,2368.07324939,2488.75164671,2283.29132128,2279.75136258,2388.55832283,2161.88213867,1966.47541197
2018-02-16 13:18:00,2168.11848276,2172.7122111,2158.91563649,2095.59264248,2215.08767849,2187.19060245,2255.83488975
2018-02-16 13:20:00,2308.07866728,2221.08635132,2101.51231161,2228.10718489,2136.10973745,1953.40662892,1892.09575172
2018-02-16 13:22:00,2125.95460555,2210.09454273,2171.18063611,2203.3072019,2366.52441964,2145.58101056,2018.19087451
2018-02-16 13:24:00,2168.94192706,2245.85142543,2277.80519966,2310.00654176,2331.41881493,2300.02961501,2215.90128833
2018-02-16 13:26:00,2196.94026626,2396.63595839,2344.66642114,2300.95511327,2305.66243276,2218.85145934,2156.31460693
2018-02-16 13:28:00,2534.38765275,2495.60609625,2466.43680575,2574.11103028,2503.27385337,2482.18808187,2358.32167152
2018-02-16 13:30:00,2642.23632335,2648.13812729,2674.94010521,2746.34342978,2697.08362626,2537.5402817,2585.08099485
